College,SAT,Acceptance Rate,Earnings 6 yrs after entry,Share First Generation,Retention Rate,Student Faculty Ratio,Mean Net Price,Diversity,Students with Loans,Faculty Salary
Ohio Northern University,1203,0.689,61102,0.2356756757,0.8636,12,24401,0.19330000000000003,0.9427083333,8908
Ohio University,,0.4179,38520,0.5022521408,0.1667,19,26497,0.4079,0.8188157573,8405
Ohio University Southern,,,43819,0.3386957545,0.5954,15,6947,0.13520000000000001,0.8688816375,7220
Ohio University-Chillicothe,,,43819,0.3386957545,0.5385,17,7474,0.1368,0.8688816375,7499
Ohio Wesleyan University,1230,0.7402,42255,0.2150537634,0.7866,11,24089,0.29079999999999995,0.9569583931,8308
Oklahoma Baptist University,1111,0.5574,39187,0.2573696145,0.6771,15,20564,0.3234,0.8378088077,7028
Oklahoma Christian University,1129,0.9653,41963,0.1784172662,0.7959,15,18369,0.3255,0.9224376731,6809
Oklahoma City University,,,34914,0.4842718447,,21,8617,0.4731,0.6042709376,5846
Oklahoma Panhandle State University,,,37043,0.4123314066,0.371,18,7210,0.5045,0.7708333333,4858
Oklahoma State University,1050,0.9412,40314,0.4062827225,0.6454,19,12238,0.36719999999999997,0.7176079734,7330
Oklahoma Wesleyan University,1022,0.5391,47383,0.4082568807,0.5633,14,21939,0.4808,0.9559032717,5919
Old Dominion University,1126,0.9623,44503,0.3321371117,0.7174,16,16948,0.5707,0.8692722372,9341
Olivet College,1019,0.885,40496,0.3344103393,0.5621,15,21401,0.31510000000000005,0.962406015,6416
Olivet Nazarene University,1105,0.6055,45553,0.2768395657,0.7814,15,20023,0.3094,0.9542857143,7103
Oral Roberts University,1123,0.8499,38002,0.309352518,0.85,16,23385,0.6103000000000001,0.917989418,7616
Oregon Health & Science University,,,93024,0.3155416013,,10,,0.3832,0.9316493314,11146
Oregon Institute of Technology,1193,0.9062,63472,0.3946564885,0.6792,15,16029,0.3114,0.8355493352,8499
Oregon State University,,0.9157,39549,0.4193877551,0.6547,12,15027,0.4175,0.8870461676,6984
Otis College of Art and Design,1237,0.7982,43771,0.2419354839,0.7813,9,40888,0.7792,0.9251497006,8226
Ottawa University,966,0.6657,45136,0.4008683068,0.5526,11,26214,0.4134,0.9026143791,6428
Otterbein University,1134,0.829,44680,0.2612440191,0.8016,12,21920,0.2592,0.9375,8187
Ouachita Baptist University,,0.7375,40001,0.2354892206,0.8432,13,20847,0.2036,0.8885400314,6545
Our Lady of the Lake University,989,0.6578,39610,0.4759284732,0.5627,11,17926,0.9208000000000001,0.8735224586,7104
Ozark Christian College,,0.9805,30150,0.2586206897,0.7583,13,17771,0.1603,0.8326530612,5566
Pace University,1219,0.8762,54152,0.2941176471,0.7454,15,27937,0.5255,0.9209024191,12510
Pacific Lutheran University,1247,0.8839,53149,0.2958139535,0.7853,11,21023,0.4616,0.8754355401,7951
Pacific Oaks College,,0.1304,42362,0.5784883721,,5,,0.858,0.950617284,6109
Pacific Union College,,0.5773,51796,0.2572463768,0.6095,12,21770,0.7859999999999999,0.9514237856,6281
Pacific University,1265,0.793,64649,0.350177305,0.845,13,17874,0.7905,0.8944530046,11095
Pacifica Graduate Institute,,,,,,,,0.0,,7234
Paine College,,0.5201,24478,0.3785714286,0.6316,8,10454,0.9915999999999999,0.9193548387,3531
Palm Beach Atlantic University,1139,0.8986,38362,0.2200374532,0.7132,12,27597,0.39709999999999995,0.8942307692,8262
